batch_size,seq_length,avg_forward_time,avg_backward_time
128,16,0.0013800178999190393,0.021927711799935422
128,32,0.0002719077999699948,0.0003917246000582963
128,64,0.0009362777999740501,0.0013610084999982064
128,128,0.004106543299985788,0.004761959200050114
128,256,0.016876721399921735,0.01702294080005231
256,16,0.00019540240000424092,0.0003204772000117373
256,32,0.0007446857999639178,0.0010754943999927492
256,64,0.0026177109999935056,0.003235961399923326
256,128,0.008566828699895269,0.009723711499964338
256,256,0.036054597600059426,0.033527693800124325
512,16,0.00048195450003731823,0.0008456889999251871
512,32,0.00164649839998674,0.0023609324000517518
512,64,0.005038242900036493,0.006414343800042843
512,128,0.019035747399993853,0.019474654700024983
512,256,0.06580713830003333,0.07181139610001992
1024,16,0.001209253799970611,0.00215027570006896
1024,32,0.0031863626000358638,0.004661650699927122
1024,64,0.01021725480004534,0.012989828100080559
1024,128,0.03930002550005156,0.038268808700013326
1024,256,0.11430119990004642,0.15715017780007656
